題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
42,校內選拔賽,在台灣離島的「海水淡化廠」主要供應對象是？,工業用水,農業用水,民生用水,服務業用水,(C) 民生用水,"【正解說明】澎湖、金門、連江等離島地區因地形狹小、缺乏大河川與大型水庫，天然降雨蓄水不足。因此在離島設置海水淡化廠的最核心任務，是穩定供應當地居民最基本的日常「民生用水」。
【其他選項解析】
(A) 工業用水：在台灣本島（如新竹、麥寮）的海淡廠多供應工業，但在離島則以民生為主。
(B) 農業用水：海淡造水成本高昂，不符農業灌溉之經濟效益。
(D) 服務業用水：非海淡廠設立之主要民生基本保障對象。"
43,校內選拔賽,以下哪一種行為符合『源頭減量』的環保原則？,自帶環保購物袋,多拿幾個塑膠袋,使用塑膠吸管,將垃圾丟棄山區,(A) 自帶環保購物袋,"【正解說明】「源頭減量（Source Reduction）」是指在廢棄物產生之前就採取預防措施。出門自備重複使用的環保購物袋，可直接避免索取與製造新塑膠袋，是源頭減量的最佳典範。
【其他選項解析】
(B) 多拿塑膠袋、(C) 使用塑膠吸管：製造更多一次性塑膠垃圾。
(D) 垃圾丟棄山區：屬於嚴重的環境污染違法棄置行為。"
44,校內選拔賽,依據吃好魚宣言所提出的「海鮮選購三優先」下列何者非優先考量？,國產魚優先,有標章優先,中低階優先,仔稚魚優先,(D) 仔稚魚優先,"【正解說明】永續海鮮「吃好魚宣言」倡導的三大優先原則為：**國產魚優先**（降低食物里程）、**有產銷履歷/永續標章優先**（來源合法透明）、**中低食物鏈階層魚種優先**（如鯖魚、秋刀魚等繁殖力強魚種）。「仔稚魚（如吻仔魚）」是海洋魚類資源繁衍的幼苗，應避免食用，故(D)非優先考量。
【其他選項解析】
(A)、(B)、(C) 均為吃好魚宣言之核心選購原則。"
45,校內選拔賽,以下哪一項不是防治土壤與地下水污染主要關注的場址？,農地,加油站及大型儲油槽,不明廢棄物非法棄置場址,河川堤岸綠地,(D) 河川堤岸綠地,"【正解說明】土壤及地下水污染整治法重點列管的高風險污染潛勢場址包括：易受重金屬污染之「農地」、儲油槽易滲漏之「加油站與大型儲槽」、以及「工廠或非法棄置場址」。「河川堤岸綠地」為一般河岸緩衝植被，非土水法重點列管調查之高風險污染場址。
【其他選項解析】
(A)、(B)、(C) 皆為我國土水污染防治基金會長期監測列管之高風險場址。"
46,校內選拔賽,下列何者是利用垃圾焚化廠處理垃圾的最主要優點？,消除所有毒性,減少原本的垃圾體積,降低空氣污染,簡化處理垃圾的程序,(B) 減少原本的垃圾體積,"【正解說明】垃圾焚化處理最顯著的物理效益，在於透過千度高溫燃燒將有機垃圾轉化為氣體與少量灰渣，使「垃圾體積大幅減縮約 85%~90%，重量減少約 70%~75%」，極大化節省掩埋場土地空間。
【其他選項解析】
(A) 消除所有毒性：焚化過程會產生飛灰、底渣與戴奧辛等需特殊處理之有害物，無法消除所有毒性。
(C) 降低空氣污染：焚化會產生煙氣，需配備高規格排煙脫硫除塵設備。
(D) 簡化程序：焚化廠涉及高科技自動控制與複雜廢氣廢熱回收系統，程序相當嚴密複雜。"
47,校內選拔賽,有關水足跡(water footprint)的概念「不包括」以下哪一項思維？,標示產品製程之耗水量,鼓勵購買使用國外進口的瓶裝水,推動水資源回收再利用及節約用水獎勵機制,推動產業建立節水製程,(B) 鼓勵購買使用國外進口的瓶裝水,"【正解說明】國外進口瓶裝水在水資源開採、塑料包裝製造及長途跨國冷鏈運輸中消耗龐大水資源，具有極高的隱形水足跡與碳足跡，完全違背水足跡減量與永續水資源理念。
【其他選項解析】
(A) 標示產品耗水量：水足跡的核心推廣作法。
(C) 推動水回收與節水獎勵：減少水資源消耗之關鍵策略。
(D) 產業建立節水製程：直接降低工業水足跡。"
48,校內選拔賽,下列何者為泰雅族傳統織布的重要原料？,棉花,亞麻,黃麻,苧麻,(D) 苧麻,"【正解說明】「苧麻（Ramie）」是台灣泰雅族最重要且具代表性的傳統天然編織纖維。泰雅女性透過種植苧麻、剝麻、刮麻、洗麻、曬麻、紡紗、染色等繁複工序，織成精美耐用的泰雅傳統織物與服飾。
【其他選項解析】
(A) 棉花、(B) 亞麻：非台灣高山原住民族傳統原生織布材料。
(C) 黄麻：清代與日治時期廣泛種植於西部平原（如台中南屯）作為麻袋包裝材料。"
49,校內選拔賽,以下哪一種細菌對珊瑚的生長有重要的影響？,鏈黴菌,葡萄球菌,乳酸菌,綠硫菌,(D) 綠硫菌,"【正解說明】在珊瑚共生微生物群系（Coral holobiont）研究中，「綠硫菌（Green Sulfur Bacteria）」等光合自營與硫循環細菌在珊瑚共生菌群的物質代謝、硫元素循環與能量供給中發揮重要的生態調節功能。
【其他選項解析】
(A) 鏈黴菌：為土壤放線菌，常用於提煉抗生素。
(B) 葡萄球菌：常見於動植物體表之機會致病菌。
(C) 乳酸菌：常用於食品發酵與腸道保健。"
50,校內選拔賽,下列何者不是我國永續能源政策綱領的「二高二低」政策原則之一？,低排放,低依賴,高效率,高經濟,(D) 高經濟,"【正解說明】我國《永續能源政策綱領》所訂定之「二高二低」核心原則為：**高效率**（提高能源使用效率）、**高價值**（發展高附加價值綠能產業）、**低排放**（追求淨零減碳與潔淨能源）、**低依賴**（降低對進口化石能源之依賴）。因此四大原則為「高效率、高價值、低排放、低依賴」，其中並無「高經濟」，故(D)為非。
【其他選項解析】
(A) 低排放、(B) 低依賴、(C) 高效率 皆為法定之二高二低原則。"
51,暑期練習7/2,根據《文化資產保存法》，下列何者敘述錯誤？,毀損或移走古蹟，可能判刑並罰錢。,文化資產若損壞，要回復原狀，若無法回復則賠償損害。,國寶或重要古物要出國，需先申請主管機關核准。,公有古物想要複製收藏，為個人行為，政府不會干涉。,(D) 公有古物想要複製收藏，為個人行為，政府不會干涉。,"【正解說明】依據《文化資產保存法》第73條規定，公有古物之複製或再複製，必須經保管機關同意並報請中央主管機關備查，受到嚴格法律規範與授權管制，絕非個人可任意複製收藏或政府不予干涉，故(D)錯誤。
【其他選項解析】
(A) 依文資法第103條，毀損古蹟者處6個月以上5年以下有期徒刑，得併科罰金，敘述正確。
(B) 依文資法第104條，毀損文化資產負有回復原狀或損害賠償之責任，敘述正確。
(C) 依文資法第71條，國寶或重要古物運出國外展覽須經中央主管機關核准，敘述正確。"
52,暑期練習7/2,有關綠建築的概念以下何者錯誤？,在建築淨零的概念中同時包括減少使用碳及減少蘊含碳,使用碳主要來自照明或用電,蘊含碳主要來自建材的製程或原料材質,蘊含碳基本上都是固定的，無論哪種選擇都無法達成溫室氣體的,(D) 蘊含碳基本上都是固定的，無論哪種選擇都無法達成溫室氣體的,"【正解說明】建築「蘊含碳（Embodied Carbon）」指建材原料開採、製造、運輸與施工過程中的碳排。透過採用低碳水泥、再生鋼筋、固碳木構造建材或模組化工法，能顯著降低蘊含碳；因此說「蘊含碳固定、無法減碳」是完全錯誤的觀念。
【其他選項解析】
(A) 建築全生命週期淨零包含營運階段的「使用碳」與建材施工的「蘊含碳」，觀念正確。
(B) 使用碳主要來自建築使用期間的空調、照明及設備用電，敘述正確。
(C) 蘊含碳主要來自水泥、鋼鐵等建材生產製造之碳排放，敘述正確。"
53,暑期練習7/2,下列關於土石流的防災方法，何者有誤？,建造擋土牆,疏通排水系統,避開災害敏感區,廣泛種植淺根系植物,(D) 廣泛種植淺根系植物,"【正解說明】淺根系植物（如檳榔、淺根草）根系無法深入岩層提供錨定與固土抓地力，豪雨時表土吸水飽和反而易隨淺根滑落；山坡地水土保持應優先種植「深根系原生喬灌木」，故(D)為錯誤做法。
【其他選項解析】
(A) 建造擋土牆：提供機械支撐以穩定坡腳。
(B) 疏通排水系統：及時引導地表逕流，防止水壓過高引發滑坡。
(C) 避開災害敏感區：落實非工程避災與土地使用分區管制。"
54,暑期練習7/2,為減少一次性用品浪費，環境部公告「一次用旅宿用品限制使用對象及實施方式」，旅宿業及其他住宿業者不得提供容量小於多少的盥洗或保養用品？,180mL,200mL,220mL,240mL,(A) 180mL,"【正解說明】依據環境部公告之「一次用旅宿用品限制使用對象及實施方式」，旅宿業者不得於客房內提供容量小於「180毫升（180mL）」的液態盥洗及保養用品（洗髮乳、沐浴乳、潤髮乳、乳液等小瓶裝備品），應改為大瓶壁掛式補充容器。
【其他選項解析】
(B) 200mL、(C) 220mL、(D) 240mL 皆非我國環保法規公告之標準容量限制值。"
55,暑期練習7/2,什麼原因讓人類不惜造成環境污染，也要開採稀土金屬？,只需少量稀土金屬，即可發電,可以提煉出黃金,為3C產品中不可或缺的材料,可以製成珍貴藥物,(C) 為3C產品中不可或缺的材料,"【正解說明】稀土元素（Rare Earth Elements）具備優異的光、電、磁學物理特性，是智慧型手機、半導體晶片、顯示器、電動車馬達、風力發電機等「現代 3C 與高科技綠能產業」不可替代的關鍵核心戰略原料。
【其他選項解析】
(A) 稀土金屬無法直接單獨發電（需做成發電機組件）。
(B) 稀土元素無法提煉出黃金（金為獨立化學元素Au）。
(D) 稀土元素之戰略價值主要在工業與電子科技領域，非製藥。"
56,暑期練習7/2,下列何者為PM2.5所使用的粒徑單位？,公分(cm),毫米(mm),微米(µm),奈米(nm),(C) 微米(µm),"【正解說明】PM2.5 指懸浮在大氣中粒徑小於或等於 2.5 微米（µm）的細懸浮微粒，其標準物理粒徑單位為「微米（µm）」
【其他選項解析】
(A) 公分 ($10^{-2}$ m)、(B) 毫米 ($10^{-3}$ m) 尺度過大；(D) 奈米 ($10^{-9}$ m) 尺度過小。"
57,暑期練習7/2,酵母菌在沒有氧氣的環境下，會將糖分轉換為哪兩種物質？,氧氣和二氧化碳,酒精和二氧化碳,酒精和水,二氧化碳和乳酸,(B) 酒精和二氧化碳,"【正解說明】酵母菌在無氧環境下進行「酒精發酵（Alcoholic fermentation）」，將葡萄糖等糖類分子分解代謝轉化為「酒精（乙醇，$	ext{C}_2	ext{H}_5	ext{OH}$）」和「二氧化碳（$	ext{CO}_2$）」，並釋放生長所需能量。
【其他選項解析】
(A) 酵母菌發酵不會產生氧氣。
(C) 水是有氧呼吸之產物，無氧發酵產生酒精與二氧化碳。
(D) 生成乳酸的是乳酸菌之乳酸發酵，非酵母菌。"
58,暑期練習7/2,如果想了解臺灣是如何保護環境的，應該找哪一個政府單位？,農業部,環境部,教育部,衛生福利部,(B) 環境部,"【正解說明】我國主管全國環境保護、污染防制、氣候變遷因應、資源循環及環境教育政策之中央最高行政主管機關為「環境部（Ministry of Environment）」。
【其他選項解析】
(A) 農業部：主管農林漁牧生產與自然保育。
(C) 教育部：主管全國學校與學術教育事務。
(D) 衛生福利部：主管全民衛生保健與社會福利。"
59,暑期練習7/2,下列何者是目前臺灣生物資源遭受威脅的主因之一？,生物因天擇被淘汰,因原生生物彼此競爭大，導致物種減少,土地過度開發或不當利用,遭到天敵捕獵,(C) 土地過度開發或不當利用,"【正解說明】目前台灣與全球生物多樣性面臨的最大危機為「棲地喪失與破碎化」，都市擴張、山坡地濫墾、海岸水泥化等「土地過度開發與不當利用」，直接摧毀了野生動植物的繁衍與生存棲地。
【其他選項解析】
(A) 自然天擇、(B) 原生生物自然競爭、(D) 天敵捕食 皆屬於生態系自然演化與能量平衡機制，非物種瀕危滅絕之主因。"
